,Angle,HorizontalRange,MaximumHeight,TimeofFlight
0,0.0,0.0,0.0,0.0
1,0.1,0.8904722998019724,0.00038854223275628324,0.01780947312141131
2,0.2,1.7809337494799875,0.0015541641967606434,0.0356188919920789
3,0.30000000000000004,2.671373499042294,0.0034968516892772963,0.05342820236142428
4,0.4,3.561780698761549,0.006216581039272222,0.0712373499791995
5,0.5,4.452144499307018,0.009713319107701584,0.0890462805956524
6,0.6000000000000001,5.342454051876776,0.013987023287915526,0.10685493996169178
7,0.7000000000000001,6.232698508329886,0.0190376415061773,0.12466327382905273
8,0.8,7.122867021318591,0.0248651122222978,0.14247122795046194
9,0.9,8.012948744420482,0.03146936443038539,0.16027874807980277
10,1.0,8.902932832270656,0.038850317659711094,0.17808577997228073
11,1.1,9.792808440693863,0.04700788197568911,0.19589226938458842
12,1.2000000000000002,10.68256472683664,0.05594195798097257,0.21369816207507103
13,1.3,11.572190849299433,0.0656524368166648,0.23150340380389137
14,1.4000000000000001,12.461675968268688,0.07613920016364567,0.24930794033319545
15,1.5,13.351009245648934,0.0874021202440131,0.26711171742727696
16,1.6,14.240179845194849,0.09944105982264045,0.28491468085274363
17,1.7000000000000002,15.129176932643272,0.1122558722088481,0.3027167763786812
18,1.8,16.017989675845246,0.1258464012581912,0.3205179497768193
19,1.9000000000000001,16.906607244897994,0.14021248137436218,0.33831814682169664
20,2.0,17.79501881227686,0.15535393751120868,0.3561173132908262
21,2.1,18.683213552967267,0.17127058517486582,0.3739153949648599
22,2.2,19.57118064459659,0.18796223042600493,0.3917123376277545
23,2.3000000000000003,20.458909267566053,0.20542866988219607,0.40950808706693603
24,2.4000000000000004,21.346388605182526,0.22366969072038653,0.4273025890734655
25,2.5,22.233607843790345,0.24268507067949407,0.445095789442204
26,2.6,23.1205561729031,0.2624745780631147,0.4628876339719773
27,2.7,24.00722278533528,0.2830379717423461,0.4806780684657414
28,2.8000000000000003,24.893596877334044,0.3043750011587256,0.49846703873074744
29,2.9000000000000004,25.779667648710802,0.32648540632728373,0.5162544905787073
30,3.0,26.66542430297282,0.3493689178397105,0.5340403698259574
31,3.1,27.550856047454804,0.3730252568676404,0.5518246222936254
32,3.2,28.43595209345038,0.3974541351660474,0.5696071938077939
33,3.3000000000000003,29.320701656343516,0.4226552550767586,0.587388030199666
34,3.4000000000000004,30.205093955740036,0.4486283095320815,0.6051670773057308
35,3.5,31.08911821559884,0.4753729820585436,0.6229442809679272
36,3.6,31.972763664363328,0.5028889467807505,0.6407195870338099
37,3.7,32.85601953509254,0.5311758684253556,0.658492941356714
38,3.8000000000000003,33.73887506559246,0.5602334023251452,0.6762642897959198
39,3.9000000000000004,34.62131949854704,0.5900611944232392,0.6940335782168181
40,4.0,35.50334208164934,0.6206588812774032,0.7118007524910744
41,4.1000000000000005,36.384932067732564,0.65202609006448,0.7295657584967952
42,4.2,37.26607871490092,0.6841624385849283,0.7473285421186906
43,4.3,38.146771286660595,0.7170675352674838,0.7650890492482417
44,4.4,39.02699905205053,0.7507409791739275,0.7828472257838638
45,4.5,39.906751285773176,0.7851823600039715,0.8006030176310708
46,4.6000000000000005,40.786017268325224,0.8203912581002601,0.8183563707026421
47,4.7,41.66478628612813,0.856367244453481,0.8361072309187849
48,4.800000000000001,42.543047631658744,0.893109880707594,0.8538555442073009
49,4.9,43.42079060357973,0.930618719165171,0.8716012565037495
50,5.0,44.29800450686998,0.9688933027928534,0.8893443137516139
51,5.1000000000000005,45.17467865295493,1.007933165226918,0.9070846619024645
52,5.2,46.05080235983672,1.0477378307789604,0.9248222469161239
53,5.300000000000001,46.92636495222453,1.0883068144416939,0.9425570147608324
54,5.4,47.80135576166443,1.1296396218948543,0.9602889114134113
55,5.5,48.675764126669584,1.1717357495112273,0.9780178828594284
56,5.6000000000000005,49.549579392849985,1.2145946843627822,0.9957438750933618
57,5.7,50.42279091304239,1.2582159042269236,1.0134668341187654
58,5.800000000000001,51.29538804743997,1.3025988775928532,1.031186705948432
59,5.9,52.16736016372202,1.3477430636680467,1.048903436604559
60,6.0,53.0386966371835,1.3936479123848442,1.066616972118913
61,6.1000000000000005,53.90938685086445,1.4403128644071503,1.084327258532992
62,6.2,54.77942019567938,1.4877373511372511,1.1020342418981923
63,6.300000000000001,55.648786070546564,1.5359207947227427,1.1197378682759722
64,6.4,56.517473882517166,1.5848626080635695,1.137438083738015
65,6.5,57.38547304690434,1.6345621948191817,1.155134834366395
66,6.6000000000000005,58.252772987412165,1.685018949415799,1.1728280662537407
67,6.7,59.119363136264624,1.7362322570537905,1.1905177255033996
68,6.800000000000001,59.985232934334185,1.7882014937151638,1.2082037582296017
69,6.9,60.85037183127063,1.8409260261711697,1.2258861105576233
70,7.0,61.71476928562952,1.8944052119900205,1.2435647286239537
71,7.1000000000000005,62.57841476500066,1.9486383995447143,1.2612395585764562
72,7.2,63.44129774613642,2.003624928020975,1.2789105465745332
73,7.300000000000001,64.30340771508001,2.0593641274253054,1.2965776387892907
74,7.4,65.16473416729349,2.11585531859315,1.3142407814037016
75,7.5,66.0252666077859,2.1730978131971748,1.331899920612771
76,7.6000000000000005,66.884994551241,2.2310909137556467,1.3495550026236982
77,7.7,67.74390752214511,2.2898339136409365,1.3672059736560416
78,7.800000000000001,68.60199505491474,2.3493260970881282,1.3848527799418815
79,7.9,69.45924669402406,2.4095667392037403,1.4024953677259862
80,8.0,70.31565199413244,2.470555105974562,1.4201336832659737
81,8.1,71.17120052021153,2.5322904542765885,1.4377676728324758
